,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
249,Harrison Barnes,PF,30,SAC,60,60,32.6,4.5,9.6,0.469,1.6,4.4,0.37,2.9,5.2,0.553,0.554,4.1,4.9,0.836,1.0,3.6,4.6,1.6,0.8,0.1,1.1,1.3,14.7
250,Deonte Burton,SG,29,SAC,2,0,3.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Terence Davis,SG,25,SAC,47,4,13.9,2.6,5.9,0.446,1.4,3.8,0.382,1.2,2.1,0.561,0.569,0.7,0.7,0.886,0.4,2.0,2.4,1.3,0.8,0.3,0.9,1.9,7.3
252,Matthew Dellavedova,PG,32,SAC,25,0,5.9,0.5,1.3,0.364,0.2,0.6,0.375,0.2,0.7,0.353,0.455,0.1,0.2,0.6,0.0,0.3,0.4,1.3,0.2,0.0,0.3,0.6,1.3
253,PJ Dozier,SG,26,SAC,4,0,2.5,0.5,0.8,0.667,0.3,0.5,0.5,0.3,0.3,1.0,0.833,0.0,0.0,,0.0,0.5,0.5,0.0,0.8,0.0,0.0,0.0,1.3
254,Kessler Edwards,SF,22,SAC,2,0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
255,Keon Ellis,SG,23,SAC,9,0,4.0,0.7,1.1,0.6,0.6,0.9,0.625,0.1,0.2,0.5,0.85,0.2,0.3,0.667,0.3,0.4,0.8,0.3,0.2,0.1,0.1,0.7,2.1
256,De'Aaron Fox,PG,25,SAC,55,55,34.1,9.4,18.3,0.515,1.6,4.8,0.331,7.9,13.5,0.581,0.559,4.9,6.3,0.786,0.5,3.8,4.3,6.3,1.1,0.3,2.7,2.5,25.4
257,Richaun Holmes,C,29,SAC,34,1,8.9,1.4,2.0,0.681,0.1,0.1,0.75,1.3,1.9,0.677,0.703,0.4,0.5,0.824,0.7,1.4,2.1,0.1,0.1,0.3,0.4,1.3,3.3
258,Kevin Huerter,SG,24,SAC,57,57,30.1,5.4,11.3,0.477,2.6,6.7,0.387,2.8,4.6,0.608,0.592,1.3,1.8,0.699,0.6,2.8,3.4,2.9,1.1,0.3,1.4,2.5,14.6
259,Alex Len,C,29,SAC,14,1,3.4,0.4,0.7,0.5,0.0,0.1,0.0,0.4,0.6,0.556,0.5,0.2,0.3,0.75,0.3,0.8,1.1,0.4,0.0,0.0,0.4,0.7,0.9
354,Trey Lyles,PF,27,SAC,54,0,16.2,2.5,5.3,0.476,1.1,3.0,0.368,1.4,2.3,0.618,0.58,1.3,1.6,0.812,0.9,2.7,3.6,0.9,0.4,0.4,0.8,1.2,7.4
385,Chimezie Metu,C,25,SAC,47,0,11.1,2.1,3.4,0.609,0.2,0.7,0.258,1.9,2.8,0.692,0.634,0.7,0.9,0.78,0.8,2.4,3.2,0.7,0.3,0.3,0.6,1.4,5.0
390,Davion Mitchell,PG,24,SAC,59,5,17.8,2.2,4.9,0.447,0.8,2.3,0.326,1.4,2.6,0.556,0.524,0.3,0.4,0.8,0.2,1.1,1.3,2.2,0.5,0.2,0.8,1.4,5.5
394,Chima Moneke,SF,27,SAC,2,0,4.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0
395,Malik Monk,SG,24,SAC,57,0,22.8,4.9,10.8,0.455,1.8,5.2,0.344,3.1,5.6,0.558,0.537,2.4,2.7,0.901,0.5,2.1,2.6,3.8,0.6,0.2,2.0,1.6,14.0
407,Keegan Murray,SF,22,SAC,58,56,29.7,4.3,9.7,0.447,2.5,6.0,0.414,1.8,3.7,0.502,0.576,0.9,1.1,0.8,1.1,3.4,4.6,1.1,0.8,0.6,0.8,1.9,12.0
436,KZ Okpala,PF,23,SAC,35,3,7.1,0.5,1.1,0.421,0.2,0.6,0.333,0.3,0.5,0.529,0.513,0.2,0.2,0.875,0.2,0.8,1.0,0.4,0.2,0.2,0.2,1.1,1.3
468,Neemias Queta,C,23,SAC,4,0,6.3,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.0,0.5,0.0,1.0,1.3,2.3,0.3,0.0,0.3,0.3,1.8,3.0
505,Domantas Sabonis,C,26,SAC,58,58,34.5,7.1,11.5,0.611,0.4,1.2,0.348,6.6,10.3,0.642,0.629,4.2,5.5,0.767,3.0,9.4,12.4,6.9,0.9,0.4,3.0,3.7,18.7
