,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
188,Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0
189,Dyson Daniels,PG,19,NOP,40,11,19.6,1.7,3.9,0.445,0.5,1.5,0.333,1.2,2.4,0.516,0.51,0.5,0.7,0.621,0.7,2.8,3.5,2.5,0.9,0.3,1.1,1.9,4.4
190,Devonte' Graham,PG,27,NOP,53,0,15.3,1.6,4.4,0.368,1.2,3.6,0.347,0.4,0.8,0.463,0.511,0.8,1.1,0.746,0.2,1.1,1.4,2.2,0.6,0.2,0.5,0.9,5.3
191,Jaxson Hayes,C,22,NOP,35,2,13.3,1.8,3.4,0.534,0.1,0.7,0.115,1.7,2.6,0.652,0.547,1.2,1.7,0.672,0.9,2.1,2.9,0.7,0.5,0.3,0.6,1.4,4.9
192,Willy Hernangomez ,C,28,NOP,30,0,12.8,2.6,4.8,0.535,0.1,0.3,0.2,2.5,4.5,0.56,0.542,2.4,3.0,0.78,1.7,3.4,5.1,0.9,0.4,0.4,1.1,1.7,7.6
193,Brandon Ingram,SF,25,NOP,27,27,32.7,8.2,17.9,0.459,1.7,4.1,0.405,6.5,13.7,0.474,0.505,4.9,5.5,0.879,0.4,4.6,5.0,4.7,0.7,0.4,3.3,2.6,22.9
194,Herbert Jones,SF,24,NOP,46,46,28.7,3.3,7.6,0.44,0.7,2.6,0.28,2.6,5.0,0.522,0.487,2.0,2.7,0.748,1.3,2.5,3.9,2.2,1.6,0.7,1.3,3.2,9.4
195,Kira Lewis Jr.,PG,21,NOP,15,0,10.6,2.0,4.1,0.492,0.7,1.5,0.455,1.3,2.6,0.513,0.574,0.9,1.0,0.933,0.3,1.7,1.9,1.0,0.3,0.1,0.5,1.1,5.6
361,Naji Marshall,SF,25,NOP,57,19,24.6,3.3,7.8,0.428,1.0,3.1,0.311,2.4,4.7,0.506,0.49,1.8,2.4,0.778,0.7,3.0,3.7,2.5,0.8,0.2,1.2,1.5,9.5
373,CJ McCollum,SG,31,NOP,55,55,35.0,7.9,18.1,0.434,2.8,7.4,0.377,5.1,10.7,0.474,0.511,2.4,3.1,0.788,0.8,3.5,4.3,5.9,0.9,0.6,2.6,2.0,21.0
404,Trey Murphy III,SF,22,NOP,59,46,29.1,4.4,9.2,0.475,2.1,5.5,0.389,2.2,3.7,0.603,0.591,1.8,2.0,0.908,0.8,2.8,3.6,1.3,1.0,0.5,0.8,2.0,12.7
414,Larry Nance Jr.,PF,30,NOP,50,1,22.3,3.2,5.3,0.616,0.3,0.8,0.342,3.0,4.5,0.662,0.641,1.0,1.4,0.676,1.8,4.1,5.9,1.9,0.9,0.7,0.7,2.1,7.7
484,Josh Richardson,SG,29,NOP,5,3,28.4,3.8,8.0,0.475,1.2,4.4,0.273,2.6,3.6,0.722,0.55,1.8,2.4,0.75,0.2,2.2,2.4,2.8,3.2,0.6,1.2,3.8,10.6
512,Dereon Seabron,SG,22,NOP,5,0,2.4,0.4,1.0,0.4,0.0,0.0,,0.4,1.0,0.4,0.4,0.0,0.0,,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8
545,Garrett Temple,SG,36,NOP,19,0,7.0,0.8,1.9,0.405,0.5,1.1,0.429,0.3,0.8,0.375,0.527,0.2,0.2,0.75,0.1,0.5,0.6,0.5,0.5,0.1,0.2,0.7,2.2
565,Jonas Valanciunas,C,30,NOP,61,61,24.9,5.6,10.4,0.542,0.5,1.5,0.337,5.1,8.9,0.577,0.566,2.5,3.0,0.821,2.8,6.9,9.7,1.7,0.3,0.5,1.9,3.1,14.2
612,Zion Williamson,PF,22,NOP,29,29,33.0,9.8,16.2,0.608,0.2,0.7,0.368,9.6,15.5,0.618,0.615,6.1,8.6,0.714,2.0,5.0,7.0,4.6,1.1,0.6,3.4,2.2,26.0
